location_id,iso3,location_name,gbd_region_id,gbd_region_name,gbd_superregion_id,gbd_superregion_name,type,gbd_analytical_region_id,gbd_analytical_region_name,gbd_analytical_superregion_id,gbd_analytical_superregion_name,deprecated_iso3
4645,"MEX_4645","Baja California Sur",124,"Central Latin America",103,"Latin America and Caribbean","admin1",124,"Central Latin America",103,"Latin America and Caribbean","XMC"
4646,"MEX_4646","Campeche",124,"Central Latin America",103,"Latin America and Caribbean","admin1",124,"Central Latin America",103,"Latin America and Caribbean","XMD"
4647,"MEX_4647","Coahuila",124,"Central Latin America",103,"Latin America and Caribbean","admin1",124,"Central Latin America",103,"Latin America and Caribbean","XME"
4648,"MEX_4648","Colima",124,"Central Latin America",103,"Latin America and Caribbean","admin1",124,"Central Latin America",103,"Latin America and Caribbean","XMF"
4649,"MEX_4649","Chiapas",124,"Central Latin America",103,"Latin America and Caribbean","admin1",124,"Central Latin America",103,"Latin America and Caribbean","XMH"
4650,"MEX_4650","Chihuahua",124,"Central Latin America",103,"Latin America and Caribbean","admin1",124,"Central Latin America",103,"Latin America and Caribbean","XMI"
4651,"MEX_4651","Distrito Federal",124,"Central Latin America",103,"Latin America and Caribbean","admin1",124,"Central Latin America",103,"Latin America and Caribbean","XMJ"
4652,"MEX_4652","Durango",124,"Central Latin America",103,"Latin America and Caribbean","admin1",124,"Central Latin America",103,"Latin America and Caribbean","XMK"
4653,"MEX_4653","Guanajuato",124,"Central Latin America",103,"Latin America and Caribbean","admin1",124,"Central Latin America",103,"Latin America and Caribbean","XML"
4654,"MEX_4654","Guerrero",124,"Central Latin America",103,"Latin America and Caribbean","admin1",124,"Central Latin America",103,"Latin America and Caribbean","XMM"
4655,"MEX_4655","Hidalgo",124,"Central Latin America",103,"Latin America and Caribbean","admin1",124,"Central Latin America",103,"Latin America and Caribbean","XMN"
4656,"MEX_4656","Jalisco",124,"Central Latin America",103,"Latin America and Caribbean","admin1",124,"Central Latin America",103,"Latin America and Caribbean","XMO"
4657,"MEX_4657","México",124,"Central Latin America",103,"Latin America and Caribbean","admin1",124,"Central Latin America",103,"Latin America and Caribbean","XMP"
4658,"MEX_4658","Michoacán de Ocampo",124,"Central Latin America",103,"Latin America and Caribbean","admin1",124,"Central Latin America",103,"Latin America and Caribbean","XMQ"
4659,"MEX_4659","Morelos",124,"Central Latin America",103,"Latin America and Caribbean","admin1",124,"Central Latin America",103,"Latin America and Caribbean","XMR"
4660,"MEX_4660","Nayarit",124,"Central Latin America",103,"Latin America and Caribbean","admin1",124,"Central Latin America",103,"Latin America and Caribbean","XMS"
