AGE,Population,CEB,D
15-19,2549753.552,326539.6466,12541.09531
20-24,2555271.395,1517112.596,55201.62254
25-29,2507229.96,3052578.016,118693.3338
30-34,2392331.342,4392649.104,192409.1043
35-39,2224168.553,5122612.549,259177.5312
40-44,1926983.478,5168225.355,322320.7944
45-49,1684952.46,5225651.214,389501.9543
