AGE,Population,CEB,D
15-19,3651056.615,720686.2007,25752.37417
20-24,3222678.849,3061180.798,108258.8053
25-29,2818732.208,5672115.42,222375.9136
30-34,2450212.724,7262487.456,341778.0853
35-39,2224168.553,8152492.1,427993.0755
40-44,1926983.478,7951244.735,488747.3891
45-49,1684952.46,7439260.81,541111.33
