AGE,Population,CEB,D
15-19,2410131.074,298877.9752,14171.52126
20-24,2504051.663,1404792.458,65814.78918
25-29,2463524.751,2875695.528,145277.2242
30-34,2245362.324,4117477.285,252626.8924
35-39,1927594.311,4698314.591,360204.423
40-44,1563893.495,4739620.793,442602.045
45-49,1355212.859,4940814.452,503908.7655
