family,age,20,22.5,25,27.5,30,32.5,35,37.5,40,42.5,45,47.5,50,52.5,55,57.5,60,62.5,65,67.5,70,72.5,75,77.5,80,82.5,85,87.5,90,92.5,95,97.5,100
West,1,0.3649,0.3335,0.3051,0.2794,0.2558,0.2342,0.2141,0.1956,0.1782,0.162,0.1468,0.1324,0.119,0.1062,0.0941,0.0825,0.0714,0.0607,0.0506,0.0409,0.0314,0.0231,0.0171,0.0129,0.01,0.0077,0.0058,0.0043,0.003,0.0021,0.0014,0.0009,0.0005
West,2,0.4064,0.373,0.3425,0.3146,0.2889,0.265,0.2428,0.222,0.2025,0.1842,0.1669,0.1505,0.135,0.1197,0.1056,0.0921,0.0792,0.0669,0.0552,0.044,0.0333,0.0244,0.0179,0.0135,0.0105,0.0081,0.0061,0.0045,0.0032,0.0022,0.0015,0.0009,0.0005
West,3,0.4479,0.4125,0.38,0.3499,0.3219,0.2958,0.2714,0.2484,0.2268,0.2063,0.1869,0.1685,0.1509,0.1331,0.117,0.1016,0.087,0.0731,0.0598,0.0471,0.0353,0.0256,0.0187,0.0141,0.011,0.0085,0.0064,0.0047,0.0033,0.0023,0.0015,0.001,0.0006
West,5,0.5309,0.4915,0.4548,0.4204,0.388,0.3575,0.3287,0.3013,0.2754,0.2507,0.2271,0.2046,0.1828,0.1601,0.1399,0.1208,0.1026,0.0854,0.0689,0.0533,0.0392,0.028,0.0203,0.0153,0.012,0.0093,0.007,0.0051,0.0036,0.0025,0.0017,0.001,0.0006
West,10,0.565,0.5252,0.4877,0.4522,0.4186,0.3867,0.3563,0.3274,0.2998,0.2733,0.248,0.2237,0.2002,0.1756,0.1534,0.1324,0.1125,0.0935,0.0753,0.058,0.0425,0.0302,0.0219,0.0165,0.013,0.01,0.0075,0.0055,0.0039,0.0027,0.0018,0.0011,0.0007
West,15,0.5898,0.5498,0.5119,0.4758,0.4414,0.4085,0.3771,0.3471,0.3183,0.2906,0.264,0.2384,0.2136,0.1873,0.1638,0.1414,0.1201,0.0998,0.0803,0.0618,0.0452,0.032,0.0232,0.0175,0.0137,0.0106,0.008,0.0058,0.0041,0.0028,0.0019,0.0012,0.0007
West,20,0.6201,0.5801,0.5419,0.5052,0.47,0.4362,0.4037,0.3724,0.3422,0.3131,0.2851,0.2579,0.2315,0.2039,0.1785,0.1544,0.1313,0.1092,0.088,0.0678,0.0495,0.035,0.0254,0.0191,0.015,0.0116,0.0087,0.0063,0.0045,0.0031,0.002,0.0013,0.0007
East,1,0.4276,0.393,0.3616,0.3327,0.3061,0.2813,0.2583,0.2368,0.2166,0.1976,0.1798,0.1632,0.1473,0.132,0.1173,0.1032,0.0896,0.0767,0.0644,0.0525,0.0408,0.0306,0.0227,0.017,0.013,0.0098,0.0071,0.0051,0.0035,0.0023,0.0015,0.0009,0.0005
East,2,0.4626,0.4269,0.3941,0.3637,0.3354,0.309,0.2842,0.2608,0.2388,0.218,0.198,0.1793,0.1614,0.1442,0.1277,0.112,0.0968,0.0824,0.0686,0.0553,0.0426,0.0317,0.0235,0.0176,0.0135,0.0101,0.0074,0.0052,0.0036,0.0024,0.0015,0.0009,0.0005
East,3,0.4976,0.4608,0.4266,0.3947,0.3647,0.3366,0.31,0.2848,0.261,0.2383,0.2162,0.1954,0.1755,0.1565,0.1382,0.1208,0.1041,0.0881,0.0727,0.0581,0.0445,0.0329,0.0243,0.0182,0.014,0.0105,0.0077,0.0054,0.0037,0.0025,0.0016,0.0009,0.0005
East,5,0.5677,0.5286,0.4916,0.4566,0.4234,0.3918,0.3617,0.3329,0.3054,0.279,0.2526,0.2276,0.2038,0.181,0.1592,0.1384,0.1185,0.0994,0.0811,0.0637,0.0481,0.0352,0.0259,0.0194,0.0149,0.0112,0.0082,0.0058,0.004,0.0026,0.0017,0.001,0.0006
East,10,0.5989,0.5596,0.5222,0.4864,0.4522,0.4195,0.388,0.3578,0.3288,0.3008,0.2727,0.2457,0.22,0.1953,0.1717,0.1491,0.1274,0.1066,0.0865,0.0676,0.0509,0.0371,0.0272,0.0204,0.0157,0.0118,0.0086,0.0061,0.0042,0.0028,0.0017,0.0011,0.0006
